iter	Logloss
0	0.6814376806
1	0.6714254136
2	0.6613431563
3	0.649588559
4	0.6396710038
5	0.6307216452
6	0.623154427
7	0.6150336197
8	0.6073461378
9	0.5969531941
10	0.5886201459
11	0.5802032226
12	0.5709413497
13	0.5640166935
14	0.5553782961
15	0.5477489701
16	0.5414816543
17	0.5340828304
18	0.5269982709
19	0.5207322979
20	0.5124724223
21	0.5077863842
22	0.5017183157
23	0.4965051886
24	0.4910084989
25	0.4856032097
26	0.4804215714
27	0.4765578271
28	0.4720379477
29	0.4675256998
30	0.4629937095
31	0.4584375853
32	0.4538158972
33	0.4483295642
34	0.4442804506
35	0.4407316582
36	0.4373794703
37	0.4333382133
38	0.4294218752
39	0.4248048299
40	0.4209884763
41	0.4174171081
42	0.412884443
43	0.4086096124
44	0.4052371073
45	0.4009955172
46	0.3983436257
47	0.3952452915
48	0.3914917485
49	0.3889679265
50	0.3862017961
51	0.383535367
52	0.3806770241
53	0.3774953274
54	0.3744189227
55	0.3711968376
56	0.3690153605
57	0.3665534686
58	0.3639341143
59	0.361529625
60	0.3590312188
61	0.3562905156
62	0.354482104
63	0.3515330676
64	0.3487062364
65	0.3468554469
66	0.3443330187
67	0.3414401731
68	0.3393777114
69	0.3373806371
70	0.3355735782
71	0.3343842565
72	0.3326301359
73	0.3308740941
74	0.3294890908
75	0.3277564652
76	0.3263942488
77	0.3243630433
78	0.3230388023
79	0.320938182
80	0.3190767165
81	0.3178867175
82	0.3166963698
83	0.3150679883
84	0.3139769634
85	0.3128235007
86	0.3116078238
87	0.3108762012
88	0.3099584084
89	0.3082169708
90	0.3064071249
91	0.3054786389
92	0.3040835108
93	0.3026272257
94	0.3011461142
95	0.3000560686
96	0.2991021718
97	0.2983143621
98	0.2968700275
99	0.2956606681
100	0.2943736782
101	0.2930647959
102	0.2919786774
103	0.2909658819
104	0.2898873346
105	0.2888396853
106	0.2879132721
107	0.2869198742
108	0.2860909719
109	0.285381562
110	0.2845498508
111	0.2837588005
112	0.2828821414
113	0.2821547768
114	0.280393761
115	0.2797068027
116	0.2787563857
117	0.2775525585
118	0.276614401
119	0.2759554609
120	0.2751917919
121	0.2742674173
122	0.2737600683
123	0.2730380102
124	0.2722147952
125	0.2714155729
126	0.2708059034
127	0.2697754118
128	0.2691356927
129	0.268687794
130	0.2682343759
131	0.2673842588
132	0.2665555847
133	0.265603594
134	0.2650109389
135	0.2643822267
136	0.2633162804
137	0.2624469391
138	0.261406013
139	0.2605411142
140	0.2599198598
141	0.2594853702
142	0.2585678055
143	0.2581066431
144	0.2571763922
145	0.256715945
146	0.2561621067
147	0.2558540424
148	0.2551559875
149	0.2548133455
150	0.2542942117
151	0.2535368317
152	0.25283201
153	0.2519996468
154	0.2511860255
155	0.2505801024
156	0.2500654765
157	0.2493397243
158	0.2486808894
159	0.2480905198
160	0.2474212374
161	0.2468812183
162	0.2465014909
163	0.2459869479
164	0.2455611253
165	0.245066211
166	0.2446289748
167	0.2440164702
168	0.2433604017
169	0.2428182452
170	0.2422866806
171	0.2413750877
172	0.2409359824
173	0.2404239442
174	0.2395555498
175	0.2388489422
176	0.2382833321
177	0.2376592585
178	0.2368963682
179	0.2363338327
180	0.2356980263
181	0.2351414731
182	0.2345871975
183	0.2342899188
184	0.2337594259
185	0.2332869845
186	0.2327718921
187	0.2323212039
188	0.2317999246
189	0.23141627
190	0.2310924915
191	0.2307578552
192	0.2303199029
193	0.230060373
194	0.229668406
195	0.2291719647
196	0.228680518
197	0.2281520354
198	0.2278275831
199	0.2275370587
200	0.2271051796
201	0.2268392254
202	0.2263245319
203	0.226014512
204	0.225569356
205	0.22517609
206	0.2248320498
207	0.2243066364
208	0.2238652405
209	0.2234088649
210	0.2229817621
211	0.2225618843
212	0.2222210235
213	0.221684859
214	0.2212880829
215	0.2208214248
216	0.2203832188
217	0.2201274895
218	0.2195163414
219	0.2190654778
220	0.21869976
221	0.2184251117
222	0.2179695438
223	0.2177659853
224	0.2174420988
225	0.2170200841
226	0.216715227
227	0.2164126965
228	0.2159687587
229	0.2155026524
230	0.2151449929
231	0.214772078
232	0.2144848604
233	0.2141169718
234	0.2138603545
235	0.2133614181
236	0.2129171135
237	0.2124726524
238	0.2121527345
239	0.211963895
240	0.2116714169
241	0.2113347877
242	0.2109073126
243	0.2105774913
244	0.210402164
245	0.2099772445
246	0.2097207527
247	0.209520226
248	0.2093081371
249	0.2087273179
250	0.2083491629
251	0.2080399087
252	0.2077573512
253	0.207304144
254	0.2070577
255	0.2067542666
256	0.2063343303
257	0.2060675392
258	0.2055675904
259	0.2051726081
260	0.2049182555
261	0.204510509
262	0.2039928416
263	0.2037555341
264	0.203571181
265	0.2033529918
266	0.2028125922
267	0.2023649072
268	0.2019530952
269	0.2017114795
270	0.2012822898
271	0.2010878527
272	0.2008735239
273	0.2005492646
274	0.2003326033
275	0.2000266429
276	0.199625244
277	0.199306604
278	0.1989065091
279	0.1986690845
280	0.1983561627
281	0.1980911132
282	0.1978354631
283	0.1973527749
284	0.1971100454
285	0.1968815954
286	0.1964067596
287	0.1961684303
288	0.195854896
289	0.1956590141
290	0.1953819619
291	0.1951075737
292	0.1945829698
293	0.1943148698
294	0.193863389
295	0.1934434405
296	0.193274482
297	0.1931127285
298	0.1929973175
299	0.1927964054
300	0.1925211716
301	0.1922118236
302	0.1919680864
303	0.1917527185
304	0.1915145355
305	0.1911780179
306	0.1908730653
307	0.1905246019
308	0.1901934034
309	0.1898660241
310	0.1894590876
311	0.189250806
312	0.1890349425
313	0.188749346
314	0.1882839375
315	0.187915063
316	0.1876506683
317	0.1873255155
318	0.186969984
319	0.1866252599
320	0.186250692
321	0.1859421861
322	0.185680899
323	0.1853933484
324	0.1851353844
